ProjectDWID,ProjectID,ProjectName,ProgramGroup,StartDate,ProjectedCompletionDate,Counted Rental Units,Counted Homeownership Units,All Counted Units,TotalProjectUnits,CommercialSquareFootage,BorrowerLegalEntityName,GeneralContractorName,IsDavisBacon,IsSection220NYSLaborLaw
19294,44218,MEC E. 125TH ST. PARCEL B WEST,Multifamily Finance Program,12/31/2018,02/16/2022,297,0,297,404,62204,EAST HARLEM MEC PARCEL B WEST LLC,MONADNOCK CONSTRUCTION,No,No
19487,44223,ROCHESTER SUYDAM PHASE 1,Multifamily Finance Program,06/30/2021,,0,46,46,46,0,BJF DEVELOPMENT LLC,"Z H L GROUP, INC.",No,No
19059,44225,Brook Avenue Apartments,Multifamily Finance Program,06/27/2014,12/28/2016,66,0,66,66,1965,"BX Properties, LLC",Yuco Builders LLC,No,No
19421,44230,Mermaid  / West. 16th Street,Small Homes Program,06/30/2015,07/21/2017,14,7,21,21,0,NEPTUNE II LLC,Shelter Rock Builders LLC,No,No
19348,44239,Home for Harlem Dowling,Multifamily Finance Program,06/30/2014,12/29/2016,60,0,60,60,0,Harlem Dowling Alembic LLC,"Mega Contracting, Inc.",No,No
18601,44249,2311 Tiebout Avenue,Multifamily Finance Program,06/10/2013,07/15/2016,0,0,20,20,0,Tiebout Green LLC,Galaxy,No,No
19420,44250,MERCY. 485 4TH AVE. MERCY HOME,Multifamily Finance Program,02/06/2014,,0,0,,8,0,Mercy Home Housing Development Fund Organization,DESIGN AND CONSTRUCTION BY NATIVO,No,No
19611,44256,WSFSSH. 145 WEST 108TH ST. VALLEY LODGE,Multifamily Finance Program,12/31/2018,09/29/2021,199,0,199,199,0,WEST 108TH STREET LP,PROCIDA-BUTZ,No,No
18604,44258,BRADHURST CORNERSTONE II APARTMENTS,Multifamily Finance Program,06/28/2013,10/22/2015,0,0,31,31,0,Bradhurst Cornerstone II Owners LLC,GKC INDUSTRIES INC,No,No
19274,44265,CULVER EL PHASE I,Small Homes Program,11/25/2014,05/06/2019,0,36,36,36,0,CULVER HOUSING DEVELOPMENTS LLC,Mosab Construction Corp.,No,No
19416,44280,ELTON CROSSING (AKA MELROSE COMMONS NORTH SITE C),Multifamily Finance Program,06/30/2015,02/27/2019,199,0,199,199,8230,ELTON CROSSING ASSOCIATES LP,L RISO & SONS CO INC,No,No
19536,44281,STANLEY COMMONS,Multifamily Finance Program,12/31/2014,01/23/2018,240,0,240,240,0,Stanley Commons LLC,Galaxy,No,No
19323,44282,NYCHA FULTON HOUSES,Multifamily Finance Program,12/28/2016,11/20/2018,160,0,160,160,0,18TH STREET FULTON EQUITIES LLC,ARTIMUS CONSTRUCTION,No,No
19589,44285,VAN BUREN/GREENE,Small Homes Program,06/30/2016,02/05/2020,10,10,20,20,0,VAN BUREN GREENE LLC,ELH CONSTRUCTION CO LLC,No,No
19283,44288,DEAN STREET RESIDENCES CONDOMINIUM,Small Homes Program,06/26/2014,06/18/2018,0,15,15,15,0,Habitat for Humanity New York City Inc.,"GKC Industries, Inc.",No,No
19593,44295,Van Sinderen Plaza,Multifamily Finance Program,06/29/2016,09/17/2021,130,0,130,130,26206,VAN SINDEREN PLAZA LLC,MacQuesten Construction Management,No,No
18545,44303,Coretta Scott King Apartments,Multifamily Finance Program,07/10/2013,07/14/2015,0,0,51,51,0,CSK HDFC,CHEEVER DEVELOPMENT CORP,Yes,No
18628,44306,640 Broadway,Multifamily Finance Program,10/30/2013,06/10/2016,0,0,7,7,0,640 Broadway HDFC,EURO BUILDERS LLC,No,No
19639,44319,Williamsburg Apartments,Multifamily Finance Program,06/30/2014,12/29/2017,53,0,53,53,9101,188 Partners LLC,Yuco Builders LLC,No,No
19254,44324,Clinton URA Site 7/CHDC,Multifamily Finance Program,05/04/2015,10/03/2019,103,0,103,103,23707,CLINTON WEST 53RD HOUSING LLC,"Mega Contracting, Inc.",No,No
19358,44332,HOPKINSON/PARK PLACE,Small Homes Program,02/10/2017,07/14/2021,0,25,25,25,0,HABITAT LATENT LLC,FG-PH Corporation,No,No
19356,44333,HIGHBRIDGE CDC. 1448 PLIMPTON AVE. ARTSBRIDGE,Multifamily Finance Program,08/21/2014,10/27/2017,62,0,62,62,0,Artsbridge HDFC,"M. Melnick & Co., Inc.",Yes,No
19417,44339,BRONX COMMONS,Multifamily Finance Program,12/28/2016,12/30/2019,305,0,305,305,23143,BRONX COMMONS LLC,BRONX COMMONS BUILDERS LLC,No,No
19215,44340,BLAKE/HENDRIX,Small Homes Program,05/30/2018,10/28/2021,17,13,30,30,0,SUN SHELTER LLC,HERITAGE V LLC,No,No
19271,44348,Crossroads Plaza- Rental Low,Multifamily Finance Program,01/28/2014,04/12/2017,136,0,136,136,20907,"Crossroads II Development, LLC",New Cassel Construction,No,No
18512,44350,West Tremont,Multifamily Finance Program,06/28/2013,07/01/2015,0,0,61,61,0,West Tremont Senior Residences LLC,Galaxy,No,No
19607,44353,Walison. 280-282 E. Burnside Ave. Burnside Walton,Multifamily Finance Program,06/26/2014,10/26/2017,90,0,90,90,2000,"280 East Burnside Associates, L.P.",Walison Corp.,No,No
19304,44357,Acacia Gardens,Multifamily Finance Program,04/11/2016,08/24/2018,179,0,179,179,5370,ACACIA GARDENS DEVELOPMENT LLC,Lettire Construction,No,No
18605,44362,Park West Apartments,Multifamily Finance Program,06/27/2013,02/01/2016,0,0,134,134,13520,2026 Westchester Realty LLC,Procida Construction,No,No
