BUILDING ID,REGISTRATION ID,BOROUGH,NUMBER,STREET,VACATE ORDER NUMBER,PRIMARY VACATE REASON,VACATE TYPE,VACATE EFFECTIVE DATE,RESCIND DATE,NUMBER OF VACATED UNITS,POSTCODE,LATITUDE,LONGITUDE,COMMUNITY BOARD,COUNCIL DISTRICT,CENSUS TRACT,BIN,BBL,NTA
896801,381897,BK,1662,DEAN STREET,100282,Illegal Occupancy,Partial,11/23/2012,,1,11213,40.67592,-73.93257,8,36,309,3392424,3013480010,Crown Heights North                                                        
90265,200893,BX,3414,KNOX PLACE,142395,Fire Damage,Partial,01/10/2018,09/12/2018,7,10467,40.88172,-73.88373,7,11,421,2017700,2033240104,Norwood
688955,0,QN,14-19,POINT BREEZE PLACE,145612,Illegal Occupancy,Partial,09/26/2018,,1,11691,40.61110,-73.77100,14,31,100801,4300123,4157020063,Far Rockaway-Bayswater
361981,0,BK,148,RIDGEWOOD AVENUE,145817,Illegal Occupancy,Partial,09/27/2018,,1,11208,40.68302,-73.88331,5,37,117202,3087219,3039280025,Cypress Hills-City Line
104305,0,BX,1352,PROSPECT AVENUE,132161,Illegal Occupancy,Partial,07/27/2016,,1,10459,40.83005,-73.89730,3,17,151,2010355,2029700018,Morrisania-Melrose
99680,713215,BX,249,NEWMAN AVENUE,145301,Illegal Occupancy,Partial,08/09/2018,,1,10473,40.81052,-73.85448,9,18,4,2020218,2034560060,Soundview-Castle Hill-Clason Point-Harding Park
227140,0,BK,290,COVERT STREET,145729,Illegal Occupancy,Partial,09/26/2018,,1,11237,40.69256,-73.90615,4,37,409,3326335,3034250010,Bushwick North
99869,213080,BX,739,NOBLE AVENUE,139803,Fire Damage,Entire Building,08/31/2017,,4,10473,40.81954,-73.86739,9,18,20,2021978,2035930046,Soundview-Castle Hill-Clason Point-Harding Park                            
328407,328580,BK,228,LOGAN STREET,118615,Illegal Occupancy,Entire Building,08/06/2014,09/04/2018,11,11208,40.68088,-73.87760,5,37,1174,3092603,3041370037,Cypress Hills-City Line
649525,400775,QN,41-06,DENMAN STREET,144375,Fire Damage,Partial,06/13/2018,09/07/2018,1,11373,40.74647,-73.87446,4,25,467,4039152,4015660006,Elmhurst
99815,220721,BX,1333,NOBLE AVENUE,131316,Fire Damage,Partial,06/27/2016,,1,10472,40.83325,-73.87058,9,18,64,2027713,2038720052,West Farms-Bronx River                                                     
554761,0,QN,182-06,145 DRIVE,145543,Illegal Occupancy,Partial,09/13/2018,,1,11413,40.66332,-73.76366,13,31,320,4285898,4133470021,Springfield Gardens South-Brookville
99570,710912,BX,2148,NEWBOLD AVENUE,137095,Illegal Occupancy,Partial,05/03/2017,,1,10462,40.83315,-73.85293,9,18,92,2026566,2038130031,Westchester-Unionport                                                      
631773,420435,QN,439,BEACH 22 STREET,145701,Fire Damage,Partial,09/25/2018,,25,11691,40.59899,-73.75670,14,31,99801,4301173,4157710064,Far Rockaway-Bayswater
99366,218616,BX,2055,NEREID AVENUE,122902,Illegal Occupancy,Partial,04/22/2015,,1,10466,40.89971,-73.84403,12,12,444,2071417,2050960006,Woodlawn-Wakefield                                                         
99366,218616,BX,2055,NEREID AVENUE,121839,Illegal Occupancy,Partial,02/15/2015,,1,10466,40.89971,-73.84403,12,12,444,2071417,2050960006,Woodlawn-Wakefield                                                         
99366,218616,BX,2055,NEREID AVENUE,117671,Illegal Occupancy,Partial,07/16/2014,,1,10466,40.89971,-73.84403,12,12,444,2071417,2050960006,Woodlawn-Wakefield                                                         
60811,203986,BX,2653,DECATUR AVENUE,144360,Fire Damage,Partial,05/31/2018,09/24/2018,1,10458,40.86403,-73.88963,7,15,40502,2016484,2032820052,Bedford Park-Fordham North
895118,0,SI,123,WILLOWBROOKROAD,131454,Illegal Occupancy,Partial,07/27/2016,09/20/2018,3,,,,,,,,,
210672,321856,BK,166,BLEECKER STREET,141930,Illegal Occupancy,Partial,01/04/2018,09/17/2018,1,11221,40.69656,-73.91980,4,37,419,3075649,3033060024,Bushwick South
268560,314811,BK,383,EAST 52 STREET,143779,Fire Damage,Partial,04/25/2018,09/27/2018,2,11203,40.65133,-73.92837,17,41,862,3102966,3047000059,Rugby-Remsen Village
99218,209265,BX,1600,NELSON AVENUE,117140,Fire Damage,Partial,05/28/2014,,1,10453,40.84640,-73.91933,5,14,21502,2008793,2028760001,University Heights-Morris Heights                                          
99123,222165,BX,80,WEST 167 STREET,123289,Fire Damage,Partial,05/14/2015,09/09/2015,1,10452,40.83639,-73.92544,4,16,199,2091257,2025130044,Highbridge                                                                 
27583,128131,MN,152,SHERMAN AVENUE,145623,Fire Damage,Partial,09/24/2018,,1,10034,40.86463,-73.92317,12,10,291,1064832,1022250038,Marble Hill-Inwood
976686,0,SI,6,BRADLEY AVENUE,137236,Illegal Occupancy,Partial,06/08/2017,08/30/2018,1,10314,40.61300,-74.13222,1,50,18901,5106935,5004620073,Westerleigh
804020,138628,MN,258,AUDUBON AVENUE,144440,Fire Damage,Partial,06/05/2018,09/05/2018,2,10033,40.84704,-73.93358,12,10,261,1079908,1021530001,Washington Heights South
517228,0,QN,107-38,106 STREET,145630,Illegal Occupancy,Partial,09/24/2018,,1,11417,40.68080,-73.83437,10,32,94,4202933,4095430025,South Ozone Park
119065,204852,BX,1615,WALTON AVENUE,141714,Fire Damage,Partial,12/12/2017,09/14/2018,1,10452,40.84403,-73.91277,4,14,22702,2008152,2028470063,Mount Hope
29018,111943,MN,281,WADSWORTH AVENUE,144732,Fire Damage,Partial,07/05/2018,09/28/2018,1,10040,40.85372,-73.93211,12,10,279,1063994,1021680001,Washington Heights North
97528,200632,BX,2255,MORRIS AVENUE,145180,Fire Damage,Partial,08/13/2018,09/10/2018,1,10453,40.85731,-73.90242,5,14,239,2013998,2031820045,Fordham South
784320,0,SI,38,ST PAULS AVENUE,142930,Illegal Occupancy,Partial,02/08/2018,09/18/2018,1,10301,40.63693,-74.07797,1,49,17,5113133,5005690034,Stapleton-Rosebank
558171,0,QN,253-03,148 DRIVE,145544,Illegal Occupancy,Partial,09/25/2018,,1,11422,40.65374,-73.73643,13,31,664,4290081,4136530068,Rosedale
98632,218072,BX,4419,MURDOCK AVENUE,135520,Fire Damage,Partial,02/15/2017,,1,10466,40.90044,-73.84378,12,12,444,2071456,2050960063,Woodlawn-Wakefield                                                         
230007,359835,BK,1429,DE KALB AVENUE,129763,Fire Damage,Entire Building,04/13/2016,09/14/2018,6,11237,40.70030,-73.92319,4,37,429,3073575,3032350045,Bushwick North
36123,124892,MN,324,WEST 84 STREET,141879,Fire Damage,Partial,12/21/2017,09/05/2018,1,10024,40.78786,-73.97954,7,6,171,1033826,1012450088,Upper West Side
717962,500150,SI,173,BROAD STREET,145645,Fire Damage,Entire Building,09/27/2018,,4,10304,40.62431,-74.08051,1,49,21,5014045,5005410002,Stapleton-Rosebank
115242,213196,BX,609,TINTON AVENUE,143646,Fire Damage,Partial,04/17/2018,09/17/2018,1,10455,40.81417,-73.90581,1,8,79,2004671,2026530042,Melrose South-Mott Haven North
7437,110795,MN,85,BOWERY,142996,Habitability,Partial,02/06/2018,08/30/2018,16,10002,40.71696,-73.99561,3,1,16,1003908,1003030011,Chinatown
309271,818867,BK,317,HAWTHORNE STREET,145715,Illegal Occupancy,Partial,09/26/2018,,4,11225,40.65790,-73.94956,9,40,804,3107309,3048140081,Prospect Lefferts Gardens-Wingate
98098,208940,BX,220,MT HOPE PLACE,140103,Fire Damage,Partial,09/08/2017,09/21/2017,7,10457,40.84824,-73.90532,5,15,23302,2007556,2028020014,Mount Hope                                                                 
271656,352091,BK,206,EAST 56 STREET,145772,Illegal Occupancy,Partial,09/27/2018,,1,11203,40.65182,-73.92458,17,41,938,3103062,3047030013,Rugby-Remsen Village
9801,138974,MN,100,WEST 92 STREET,117339,Fire Damage,Partial,06/02/2014,,1,10025,40.79047,-73.96982,7,6,177,1032499,1012220029,Upper West Side                                                            
602275,920622,QN,35-31,214 PLACE,141573,Illegal Occupancy,Partial,11/22/2017,09/10/2018,1,11361,40.76914,-73.77095,11,19,1123,4312397,4061750028,Bayside-Bayside Hills
97946,201334,BX,1121,MORRISON AVENUE,112747,Fire Damage,Partial,12/11/2013,,1,10472,40.82724,-73.87406,9,18,48,2024011,2037440034,Soundview-Bruckner                                                         
79503,219596,BX,1110,FTELEY AVENUE,135076,Habitability,Entire Building,01/19/2017,09/20/2018,4,10472,40.82752,-73.87114,9,18,68,2024121,2037480080,Soundview-Bruckner
9789,111152,MN,505,COLUMBUS AVENUE,105277,Illegal Occupancy,Partial,02/14/2013,,2,10024,40.78541,-73.97295,7,6,169,1031292,1011980003,Upper West Side                                                            
97821,205304,BX,658,MORRIS PARK AVENUE,107225,Fire Damage,Partial,04/04/2013,,1,10462,40.84494,-73.86742,11,15,236,2042993,2040310004,Van Nest-Morris Park-Westchester Square                                    
273250,0,BK,1215,EAST 59 STREET,145656,Illegal Occupancy,Partial,09/24/2018,,1,11234,40.62354,-73.91869,18,46,692,3219173,3078570041,Flatlands
119009,200197,BX,1005,WALTON AVENUE,144654,Fire Damage,Partial,07/06/2018,09/24/2018,2,10452,40.83032,-73.92227,4,8,195,2002942,2024770034,West Concourse
