BOROUGH,BLOCK,LOT,ADDRESS,ZIP CODE,DEVELOPMENT,MANAGED BY,CD#,FACILITY
BRONX,2215,116,5210 BROADWAY,10463,MARBLE HILL,MARBLE HILL,8,ROOFTOP LEASE LOCATION
BRONX,2215,116,5220 BROADWAY,10463,MARBLE HILL,MARBLE HILL,8,DEVELOPMENT MANAGEMENT OFFICE
BRONX,2215,116,5470 BROADWAY,10463,MARBLE HILL,MARBLE HILL,8,DAY CARE CENTER
BRONX,2215,116,5480 BROADWAY,10463,MARBLE HILL,MARBLE HILL,8,DAY CARE CENTER
BRONX,2215,116,5360 BROADWAY,10463,MARBLE HILL,MARBLE HILL,8,
BRONX,2215,116,5240 BROADWAY,10463,MARBLE HILL,MARBLE HILL,8,LAUNDRY ROOM/ REFRIGERATOR AND STOVE STORAGE ROOM
BRONX,2215,116,5250 BROADWAY,10463,MARBLE HILL,MARBLE HILL,8,
BRONX,2215,116,89 WEST 225TH STREET,10463,MARBLE HILL,MARBLE HILL,8,BULK STORAGE ROOM/ STORAGE ROOM
BRONX,2215,116,79GAR WEST 225TH STREET,10463,MARBLE HILL,MARBLE HILL,8,GARAGE
BRONX,2215,116,69 WEST 225TH STREET,10463,MARBLE HILL,MARBLE HILL,8,
BRONX,2215,116,79 WEST 225TH STREET,10463,MARBLE HILL,MARBLE HILL,8,CARPENTERS SHOP CONTRACT PAINT SHOP/ NYCHA PAINT SHOP/ GROUNDS SHOP/ JANITORIAL SUPPLY ROOM/ OLD BRICK SHOP/ X-MAN SHOP
BRONX,2215,116,49 WEST 225TH STREET,10463,MARBLE HILL,MARBLE HILL,8,
BRONX,2215,623,5365 BROADWAY,10463,MARBLE HILL,MARBLE HILL,8,COMMUNITY CENTER / SENIOR CENTER
BRONX,2215,623,125 WEST 228TH STREET,10463,MARBLE HILL,MARBLE HILL,8,
BRONX,2263,19,180 BROOK AVENUE,10454,MILL BROOK,MILL BROOK,1,
BRONX,2263,19,520 EAST 137TH STREET,10454,MILL BROOK,MILL BROOK,1,
BRONX,2263,19,530 EAST 137TH STREET,10454,MILL BROOK,MILL BROOK,1,
BRONX,2263,19,161 SAINT ANNS AVENUE,10454,MILL BROOK,MILL BROOK,1,DAY CARE CENTER (VACANT)
BRONX,2263,19,165 SAINT ANNS AVENUE,10454,MILL BROOK,MILL BROOK,1,PLUMBERS SHOP
BRONX,2263,19,201 SAINT ANNS AVENUE,10454,MILL BROOK,MILL BROOK,1,COMMUNITY CENTER / SENIOR CENTER / DAY CARE CENTER/ COMMUNITY OPERATIONS SPACE
BRONX,2269,100,400 BROOK AVENUE,10454,BETANCES I,BETANCES,1,BOILER
BRONX,2269,100,404 BROOK AVENUE,10454,BETANCES I,BETANCES,1,
BRONX,2269,100,511 EAST 143RD STREET,10454,BETANCES I,BETANCES,1,
BRONX,2269,100,515 EAST 143RD STREET,10454,BETANCES I,BETANCES,1,
BRONX,2269,100,525 EAST 143RD STREET,10454,BETANCES I,BETANCES,1,GROUNDS SHOP
BRONX,2269,100,531 EAST 143RD STREET,10454,BETANCES I,BETANCES,1,GROUNDS SHOP (2)
BRONX,2269,100,535 EAST 143RD STREET,10454,BETANCES I,BETANCES,1,
BRONX,2269,100,545 EAST 143RD STREET,10454,BETANCES I,BETANCES,1,
BRONX,2269,100,551 EAST 143RD STREET,10454,BETANCES I,BETANCES,1,EXTERMINATOR SHOP
BRONX,2269,100,555 EAST 143RD STREET,10454,BETANCES I,BETANCES,1,
BRONX,2269,100,510 EAST 144TH STREET,10454,BETANCES I,BETANCES,1,
BRONX,2269,100,550 EAST 144TH STREET,10454,BETANCES I,BETANCES,1,
BRONX,2269,100,540 EAST 144TH STREET,10454,BETANCES I,BETANCES,1,
BRONX,2269,100,530 EAST 144TH STREET,10454,BETANCES I,BETANCES,1,
BRONX,2269,100,520 EAST 144TH STREET,10454,BETANCES I,BETANCES,1,
BRONX,2269,100,560 EAST 144TH STREET,10454,BETANCES I,BETANCES,1,
BRONX,2269,100,401 SAINT ANNS AVENUE,10454,BETANCES I,BETANCES,1,SENIOR CENTER/ ROOFTOP LEASE LOCATION
BRONX,2271,1,505 EAST 144TH STREET,10454,"BETANCES II, 9A",BETANCES,1,
BRONX,2271,1,509 EAST 144TH STREET,10454,"BETANCES II, 9A",BETANCES,1,BOILER/ PAINT SHOP
BRONX,2271,1,511 EAST 144TH STREET,10454,"BETANCES II, 9A",BETANCES,1,
BRONX,2271,1,517 EAST 144TH STREET,10454,"BETANCES II, 9A",BETANCES,1,PAINT SHOP
BRONX,2271,20,427 SAINT ANNS AVENUE,10454,"BETANCES III, 9A",BETANCES,1,BOILER
BRONX,2271,20,423 SAINT ANNS AVENUE,10454,"BETANCES III, 9A",BETANCES,1,
BRONX,2272,5,511 EAST 146TH STREET,10455,BETANCES IV,BETANCES,1,CARPENTERS/ PLASTERERS SHOP
BRONX,2272,5,513 EAST 146TH STREET,10455,BETANCES IV,BETANCES,1,CARPENTERS/ PLASTERERS SHOP
BRONX,2272,5,510 EAST 146TH STREET,10455,BETANCES IV,BETANCES,1,CARPENTERS/ PLUMBERS SHOP
BRONX,2272,5,512 EAST 146TH STREET,10455,BETANCES IV,BETANCES,1,BOILER
BRONX,2272,5,521 EAST 146TH STREET,10455,BETANCES V,BETANCES,1,
BRONX,2272,5,525 EAST 146TH STREET,10455,BETANCES V,BETANCES,1,BOILER
BRONX,2272,38,521 EAST 145TH STREET,10454,BETANCES V,BETANCES,1,BOILER
BRONX,2272,38,525 EAST 145TH STREET,10454,BETANCES V,BETANCES,1,
BRONX,2272,38,527 EAST 146TH STREET,10455,BETANCES IV,BETANCES,1,
BRONX,2272,38,537 EAST 146TH STREET,10455,BETANCES IV,BETANCES,1,DEVELOPMENT MANAGEMENT OFFICE
BRONX,2272,38,545 EAST 146TH STREET,10455,BETANCES IV,BETANCES,1,
BRONX,2272,38,547 EAST 146TH STREET,10455,BETANCES IV,BETANCES,1,
BRONX,2272,38,528 EAST 146TH STREET,10455,BETANCES IV,BETANCES,1,DAY CARE CENTER
